Otázka,Správná odpověď
"Podle zákona o zbraních příslušný útvar policie žádost o vydání nového zbrojního průkazu zamítne,","nebudou-li splněny podmínky zdravotní způsobilosti, bezúhonnosti nebo spolehlivosti stanovené pro vydání zbrojního průkazu,"
K žádosti o rozšíření skupin zbrojního průkazu je podle zákona o zbraních žadatel povinen připojit,"doklad o odborné způsobilosti pro požadovanou skupinu, který nesmí být starší 1 roku, posudek o zdravotní způsobilosti, který nesmí být starší 3 měsíců a 1 fotografii,"
Ukončil-li držitel zbrojního průkazu pobyt na území České republiky podle zákona o zbraních,příslušný útvar policie rozhoduje o zániku platnosti zbrojního průkazu.
Pokud je ohlášena ztráta nebo odcizení zbrojního průkazu podle zákona o zbraních,"jeho platnost zaniká,"
"Pokud zbrojní průkaz obsahuje neoprávněně provedené změny, podle zákona o zbraních","příslušný útvar policie rozhoduje o zániku jeho platnosti,"
"Pokud zbrojní průkaz obsahuje nesprávné údaje, které nejsou způsobeny z důvodu změny místa pobytu (např. změna příjmení z důvodu sňatku nebo rozvodu), podle zákona o zbraních","příslušný útvar policie rozhoduje o zániku jeho platnosti; příslušný útvar policie po předložení fotografie bez žádosti vydá nový zbrojní průkaz s dobou platnosti původního zbrojního průkazu,"
"Pokud zbrojní průkaz obsahuje nesprávné údaje, které jsou způsobeny z důvodu změny místa pobytu, podle zákona o zbraních","platnost zbrojního průkazu tím není dotčena,"
"Je-li zbrojní průkaz poškozen tak, že zápisy v něm uvedené jsou nečitelné nebo je porušena jeho celistvost, podle zákona o zbraních","příslušný útvar policie rozhoduje o zániku jeho platnosti; příslušný útvar policie po předložení fotografie bez žádosti vydá nový zbrojní průkaz s dobou platnosti původního zbrojního průkazu,"
"Podle zákona o zbraních příslušný útvar policie rozhodne o odnětí zbrojního průkazu, jestliže držitel zbrojního průkazu","pozbyl způsobilost k právním úkonům,"
"Jestliže držitel zbrojního průkazu pozbyl zdravotní způsobilost, rozhodne příslušný útvar policie podle zákona o zbraních","o odnětí zbrojního průkazu,"
"Existuje-li důvodné podezření, že u držitele zbrojního průkazu došlo ke změně zdravotního stavu, která by mohla mít za následek ztrátu jeho zdravotní způsobilosti, může příslušný útvar policie podle zákona o zbraních","vyzvat držitele zbrojního průkazu, aby se dostavil ke svému posuzujícímu lékaři a podrobil se lékařské prohlídce; držitel zbrojního průkazu je povinen se nejpozději do 10 pracovních dnů ode dne oznámení výzvy příslušného útvaru policie podrobit lékařské prohlídce u posuzujícího lékaře a předložit příslušnému útvaru policie nový posudek o zdravotní způsobilosti bez zbytečného odkladu po jeho převzetí."
"Podle zákona o zbraních existuje-li důvodné podezření, že u držitele zbrojního průkazu došlo ke změně zdravotního stavu, která by mohla mít za následek ztrátu jeho zdravotní způsobilosti, může příslušný útvar policie vyzvat držitele zbrojního průkazu, aby se dostavil ke svému posuzujícímu lékaři a podrobil se lékařské prohlídce.","Držitel zbrojního průkazu je povinen se nejpozději do 10 pracovních dnů ode dne oznámení výzvy příslušného útvaru policie podrobit lékařské prohlídce u posuzujícího lékaře; případně je povinen se podrobit i dalším potřebným odborným vyšetřením,"
"Podle zákona o zbraních, jestliže držitel zbrojního průkazu pozbyl způsobilosti k právním úkonům, pozbyl zdravotní způsobilost nebo přestal splňovat podmínky bezúhonnosti podle § 22 zákona o zbraních nebo spolehlivosti podle § 23 zákona o zbraních,","příslušný útvar policie rozhodne o odnětí zbrojního průkazu,"
"Jestliže držitel zbrojního průkazu skupiny B nebo C mladší 18 let nebo skupiny D mladší 21 let přestal splňovat podmínky pro vydání zbrojního průkazu uvedené v § 19 odst. 3, 4, 5 nebo 6 (tj. členství v občanském sdružení zabývajícím se sportovní střelbou/výuka myslivosti nebo puškařského oboru nebo střeliva na střední škole nebo středním odborném učilišti), podle zákona o zbraních","příslušný útvar policie rozhodne o odnětí zbrojního průkazu, neukončil-li držitel zbrojního průkazu skupiny C nebo D úspěšně příslušný vzdělávací program,"
"Jestliže držitel zbrojního průkazu přestal splňovat podmínky bezúhonnosti nebo spolehlivosti, rozhodne podle zákona o zbraních příslušný útvar policie",o odnětí zbrojního průkazu.
Odvolání proti rozhodnutí o odnětí zbrojního průkazu podle zákona o zbraních,"nemá odkladný účinek a držitel zbrojního průkazu je povinen zbrojní průkaz, průkaz zbraně, zbraně a střelivo neprodleně odevzdat příslušnému útvaru policie,"
Podle zákona o zbraních zaměstnanec České národní banky zajišťující fyzickou ochranu objektů této banky,"může zbraň nosit viditelně jen v souvislosti s plněním svých pracovních úkolů,"
"Zbraň kategorie A nebo A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo uděleno povolení, nebo zbraň kategorie C, je podle zákona o zbraních oprávněn nabývat do vlastnictví a držet pro sběratelské účely držitel zbrojního průkazu","skupiny A,"
"Střelivo do zbraně kategorie A, B nebo C, nejvíce však 3 kusy téhož druhu, ráže, značky a výrobního provedení, anebo 1 nejmenší spotřebitelské balení, je podle zákona o zbraních oprávněn pro sběratelské účely nabývat do vlastnictví a držet, popřípadě nosit držitel zbrojního průkazu","skupiny A,"
"Nabývat do vlastnictví a držet, popřípadě nosit zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C; případně zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu, může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, držitel zbrojního průkazu","skupiny B nebo C,"
"Držitel zbrojního průkazu skupiny B nebo C je podle zákona o zbraních mimo jiné oprávněn nabývat do vlastnictví, držet, popřípadě nosit střelivo nebo jednotlivé části nábojů do","zbraní kategorie A-I, B nebo C. Střelivo a jednotlivé části nábojů nesmí nosit viditelně,"
Držitel zbrojního průkazu skupiny D je podle zákona o zbraních mimo jiné oprávněn při výkonu zaměstnání nebo povolání,"nosit nebo držet zbraň kategorie A, A-I, B nebo C, na kterou má jeho zaměstnavatel vydán průkaz zbraně k účelům, pro které byla vydána zbrojní licence, přičemž zbraň s nasazeným nebo jinak instalovaným tlumičem hluku výstřelu může nosit pouze na střelnici nebo v místech, kde je k tomu oprávněn podle zvláštního právního předpisu. K této zbrani je oprávněn držet nebo nosit i střelivo."
Strážník obecní policie podle zákona o zbraních,"je oprávněn nosit zbraň viditelně při plnění úkolů obecní policie,"
Držitel zbrojního průkazu skupiny D je podle zákona o zbraních mimo jiné oprávněn při výkonu zaměstnání nebo povolání,"nosit nejvíce 2 zbraně kategorie A, A-I, B nebo C a střelivo do těchto zbraní na veřejnosti nebo na místě veřejnosti přístupném; zbraň a střelivo do této zbraně nesmí nosit viditelně."
Podle zákona o zbraních zaměstnanec poskytovatele bezpečnostních služeb zajišťující fyzickou ochranu objektů státních jaderných zařízení,"nesmí zbraň nosit viditelně,"
"Držitel zbrojního průkazu skupiny E je podle zákona o zbraních oprávněn mimo jiné nabývat do vlastnictví a držet, popřípadě nosit","zbraň kategorie A-I, na kterou mu byla udělena výjimka, zbraň kategorie B, na kterou mu bylo vydáno povolení, nebo zbraň kategorie C."
Držitel zbrojního průkazu skupiny E je podle zákona o zbraních oprávněn mimo jiné nabývat do vlastnictví,"střelivo pouze do zbraně, kterou je oprávněn držet, a to po předložení průkazu zbraně. Toto střelivo je oprávněn také držet nebo nosit."
Držitel zbrojního průkazu skupiny E je podle zákona o zbraních mimo jiné oprávněn,"nosit nejvíce 2 zbraně a střelivo do těchto zbraní; zbraně ani střelivo nesmí nosit viditelně,"
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen,"zabezpečit zbraň kategorie A, A-I, B nebo C a střelivo podle § 58 zákona o zbraních,"
Držitel zbrojního průkazu podle zákona o zbraních,"smí ze zbraně, kterou je oprávněn držet, střílet pouze v místech, kde je k tomu oprávněn podle zvláštního právního předpisu, nebo na střelnici, pokud se nejedná o použití zbraně k ochraně života, zdraví nebo majetku."
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen,"zabezpečit zbrojní průkaz a průkaz zbraně proti zneužití, ztrátě nebo odcizení,"
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen,"předložit na výzvu příslušného útvaru policie zbrojní průkaz, zbraň kategorie A, A-I, B nebo C, střelivo do této zbraně a příslušné doklady,"
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen,"neprodleně ohlásit kterémukoli útvaru policie ztrátu nebo odcizení zbraně kategorie A, A-I, B nebo C, střeliva do této zbraně, zbrojního průkazu nebo průkazu zbraně; v případě ztráty nebo odcizení zbraně kategorie A, A-I, B nebo C odevzdat též průkaz zbraně,"
"Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen provést u příslušného útvaru policie výměnu zbrojního průkazu nebo průkazu zbraně za nový, pokud u něho došlo ke změně jména nebo příjmení, do","10 pracovních dnů ode dne, kdy došlo ke změně, a zároveň odevzdat doklady původní,"
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen,"mít u sebe zbrojní průkaz a průkaz zbraně, jestliže má u sebe zbraň kategorie A, A-I, B nebo C nebo střelivo do této zbraně."
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen odevzdat zbrojní průkaz,"do 10 pracovních dnů ode dne zániku jeho platnosti příslušnému útvaru policie; je-li držitelem zbraně nebo střeliva, odevzdá je i s průkazem zbraně,"
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen ohlásit,"do 10 pracovních dnů příslušnému útvaru policie změnu ráže zbraně, opravu nebo úpravu zbraně mající za následek změnu kategorie zbraně,"
"Podle zákona o zbraních držitel zbrojního průkazu skupiny A až E, chce-li provést změnu ráže zbraně, opravu nebo úpravu zbraně mající za následek změnu kategorie zbraně, v případě, že se jedná o úpravu mající za následek vznik zbraně kategorie B,","smí tuto úpravu provést až na základě uděleného povolení k nabytí zbraně kategorie B,"
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen podrobit se při nošení zbraně nebo jakékoliv manipulaci s ní na veřejnosti nebo na místě veřejnosti přístupném na výzvu,"příslušníka policie orientační zkoušce, popřípadě odbornému lékařskému vyšetření ke zjištění, zda není pod vlivem alkoholu nebo jiné návykové látky."
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen neprodleně ohlásit,útvaru policie použití zbraně z důvodu krajní nouze nebo nutné obrany.
Držitel zbrojního průkazu je podle zákona o zbraních mimo jiné povinen umožnit,"příslušnému útvaru policie vstup do obydlí za účelem kontroly zabezpečení zbraní, je- li držitelem zbraně kategorie A,"
Držitel zbrojního průkazu skupiny D je podle zákona o zbraních povinen podrobit se lékařské prohlídce u posuzujícího lékaře,"ve lhůtě 2 měsíců přede dnem uplynutí 60 měsíců ode dne vydání zbrojního průkazu. Vydaný posudek o zdravotní způsobilosti je povinen odevzdat příslušnému útvaru policie nejpozději ke dni uplynutí 60 měsíců ode dne vydání zbrojního průkazu; to neplatí, jde- li o držitele zbrojního průkazu s platností 5 let nebo s platností kratší,"
Podle zákona o zbraních držitel zbrojního průkazu,"nesmí nosit zbraň nebo s ní na veřejnosti nebo na místě veřejně přístupném jakkoliv manipulovat, pokud je jeho schopnost k této činnosti snížena požitím alkoholických nápojů nebo jiných návykových látek, léků nebo v důsledku nemoci,"
"Podle zákona o zbraních držitel zbrojního průkazu nesmí mimo jiné nosit zbraň kategorie A, A-I, B nebo C",na kterou nebyl vydán průkaz zbraně.
Držitel zbrojního průkazu nesmí podle zákona o zbraních mimo jiné,"střílet ze zbraně, která není označena zkušební značkou, nebo používat střelivo, které neodpovídá dovolenému výrobnímu provedení."
"Podle zákona o zbraních držitel zbrojního průkazu skupiny A, B nebo C je povinen zbraň podléhající registraci přepravovat na místo, kde je oprávněn ji nosit, použít ke střelbě nebo s ní jinak manipulovat, nenabitou a v případě využití dopravního prostředku hromadné dopravy","se zbraň a střelivo přepravují vždy v uzavřeném obalu,"
Podle zákona o zbraních je dokladem o jmenování zkušebním komisařem,"průkaz zkušebního komisaře, který vydává Ministerstvo vnitra,"
"Zkušebním komisařem může být jmenována pouze fyzická osoba, která mimo jiné",prokázala zkouškou odbornou způsobilost před zkušební komisí jmenovanou ministrem vnitra.
"Zkušebním komisařem může být jmenována pouze fyzická osoba, která je mimo jiné","držitelem zbrojního průkazu skupiny A, B, C, D nebo E,"
Zkušebního komisaře jmenuje na základě žádosti fyzické osoby na dobu,5 let Ministerstvo vnitra.
"Zkušebního komisaře, který závažným způsobem nebo opakovaně porušil právní předpisy upravující zkoušku odborné způsobilosti žadatele o vydání zbrojního průkazu, před uplynutím doby, na kterou byl jmenován, odvolá",Ministerstvo vnitra.
Podle zákona o zbraních je zbrojířem,"osoba, která v rámci svého pracovního zařazení zabezpečuje plnění povinností při přechovávání, skladování nebo používání zbraní nebo střeliva pro držitele zbrojní licence, a která je držitelem zbrojního průkazu příslušné skupiny,"
Podle zákona o zbraních je držitel zbrojní licence mimo jiné povinen,"kontrolovat, zda zbraň nebo střelivo nejsou používány k jiným účelům, než které jsou uvedeny ve zbrojní licenci, nebo zda nejsou používány osobami bez zbrojního průkazu příslušné skupiny,"
Držitel zbrojní licence je podle zákona o zbraních mimo jiné povinen,"zajistit nejméně jednou ročně provedení cvičné střelby u osoby, která bude zbraň nosit při výkonu zaměstnání nebo povolání; o provedených cvičných střelbách vést evidenci,"
Zbrojíř je podle zákona o zbraních mimo jiné povinen,"vydat zbraň nebo střelivo pouze fyzické osobě, která je u držitele zbrojní licence v pracovním, členském nebo obdobném poměru, a to pouze za předpokladu, že tato fyzická osoba je držitelem zbrojního průkazu příslušné skupiny a zbraň nebo střelivo používá pouze k účelu, který je uveden ve zbrojním průkazu,"
Podle zákona o zbraních zbrojíř mimo jiné,"je povinen zabezpečit zbraň nebo střelivo, které jsou ve vlastnictví a držení držitele zbrojní licence, proti zneužití, ztrátě nebo odcizení."
"V době, kdy zbrojíř nemůže vykonávat svou funkci, přebírá jeho povinnosti uvedené v § 40 odst. 1 zákona o zbraních","odpovědný zástupce fyzické osoby, byl-li ustanoven, anebo odpovědný zástupce nebo člen statutárního orgánu právnické osoby,"
Podle zákona o zbraních musí být zaregistrována každá zbraň kategorie,"A, A-I, B nebo C; tato povinnost se nevztahuje na zakázané střelivo,"
"Podle zákona o zbraních registraci zbraně kategorie A, A-I, B nebo C provádí",příslušný útvar policie na základě oznámení o nabytí vlastnictví ke zbrani a předložení zbraně.
"Dokladem o registraci zbraně kategorie A, A-I, B nebo C je","průkaz zbraně, který je veřejnou listinou,"
"Podle zákona o zbraních příslušný útvar policie registraci zbraně neprovede, pokud jde mimo jiné o zbraň kategorie A, A-I, B nebo C,","kterou osoba není oprávněna podle zákona o zbraních vlastnit, držet nebo nosit."
"Pokud příslušný útvar policie nabude důvodné podezření na špatný technický stav zbraně podléhající registraci, podle zákona o zbraních","zakáže takovou zbraň používat ke střelbě; tento zákaz se zapisuje do centrálního registru zbraní a je účinný vůči každé osobě. Zákaz podle věty první je zrušen okamžikem zápisu údaje o ověření příslušné zbraně Českým úřadem pro zkoušení zbraní a střeliva do centrálního registru zbraní,"
"Fyzická nebo právnická osoba, která nabyde vlastnictví ke zbrani kategorie A, A-I, B nebo C, na kterou nemá vydán průkaz zbraně, je podle zákona o zbraních povinna tuto skutečnost oznámit na předepsaném tiskopise příslušnému útvaru policie","do 10 pracovních dnů ode dne nabytí vlastnictví a předložit zbraň,"
"Fyzická nebo právnická osoba, která převede vlastnictví ke zbrani kategorie A, A-I, B nebo C, na kterou má vydán průkaz zbraně, na jinou osobu, je povinna podle zákona o zbraních tento převod oznámit příslušnému útvaru policie na předepsaném tiskopise do","10 pracovních dnů ode dne převedení zbraně a současně odevzdat průkaz zbraně,"
"Zbraň kategorie A, A-I, B, C nebo C-I nebo střelivo do této zbraně podle zákona o zbraních trvale vyvézt mimo území České republiky v případě, že tuto zbraň hodlá vyvézt fyzická osoba,","lze pouze na základě zbrojního průvodního listu pro trvalý vývoz zbraně nebo střeliva a se souhlasem státu, do kterého má být zbraň, nebo střelivo do této zbraně, vyvezena,"
"Zbrojní průvodní list pro trvalý vývoz zbraně nebo střeliva v případě trvalého vývozu zbraně kategorie A, A-I, B, C nebo C-I nebo střeliva do této zbraně vydává podle zákona o zbraních",příslušný útvar policie.
"K žádosti o vydání zbrojního průvodního listu pro trvalý vývoz zbraně kategorie A, A-I, B, C nebo C-I nebo střeliva do této zbraně je žadatel podle zákona o zbraních povinen doložit","souhlas příslušných státních orgánů země, do které se trvalý vývoz uskutečňuje, s překladem do jazyka českého, vyhotoveným tlumočníkem zapsaným v seznamu znalců a tlumočníků,"
"Držitel zbrojního průvodního listu pro trvalý vývoz zbraně nebo střeliva, který nabude vlastnictví ke zbrani kategorie A, A-I, B, C nebo C-I nebo střelivu do této zbraně na základě zbrojního průvodního listu pro trvalý vývoz zbraně nebo střeliva, je podle zákona o zbraních povinen nejpozději do","5 dnů po nabytí vlastnictví je trvale vyvézt mimo území České republiky,"
"Pro cizince, kteří nemají místo pobytu na území České republiky, zbrojní průvodní list pro trvalý vývoz zbraně nebo střeliva vydává podle zákona o zbraních","útvar policie příslušný podle sídla provozovny podnikatele v oboru zbraní a střeliva, u kterého zbraň kategorie A, B nebo C, nebo střelivo do této zbraně, bude zakoupena, nebo místa pobytu fyzické osoby nebo sídla právnické osoby, která je dosavadním vlastníkem zbraně kategorie A, B nebo C nebo střeliva do této zbraně."
"Útvar policie, který rozhoduje o vydání zbrojního průvodního listu pro trvalý vývoz zbraně nebo střeliva, podle zákona o zbraních žádost zamítne, mimo jiné","jedná-li se o zbraně nebo střelivo do těchto zbraní uvedené jako vojenský materiál ve zvláštním právním předpise,"
"Zbrojní průvodní list pro trvalý dovoz zbraně nebo střeliva v případě trvalého dovozu zbraně kategorie A, A-I, B, C nebo C-I střeliva podle zákona o zbraních vydává","příslušný útvar policie, v zahraničí zastupitelský úřad České republiky."
Držitel zbrojního průvodního listu pro trvalý dovoz zbraně nebo střeliva je povinen nejpozději do,"10 dnů ode dne překročení státních hranic České republiky oznámit dovoz zbraně kategorie A, A-I, B, C nebo C-I nebo střeliva do této zbraně příslušnému útvaru policie a předložit ji ke kontrole."
Podle zákona o zbraních zbrojní průvodní list pro trvalý dovoz zbraně nebo střeliva,"je současně souhlasem k nabytí vlastnictví ke zbrani kategorie A, A-I, B, C nebo C-I nebo střeliva do této zbraně mimo území České republiky,"
Podle zákona o zbraních v případě vydání zbrojního průvodního listu pro trvalý dovoz zbraně nebo střeliva vydá současně předběžný souhlas s dovozem zbraně nebo střeliva do České republiky,"příslušný útvar policie, v zahraničí zastupitelský úřad České republiky,"
"V případě vydání zbrojního průvodního listu pro trvalý dovoz zbraně nebo střeliva vydá podle zákona o zbraních příslušný útvar policie, v zahraničí zastupitelský úřad České republiky, současně předběžný souhlas s dovozem zbraně nebo střeliva do České republiky. Tento předběžný souhlas","může být využit dle potřeby držitele zbrojního průvodního listu pro trvalý dovoz zbraně nebo střeliva, tj. může být zejména předán příslušným orgánům země, ze které se trvalý dovoz zbraně nebo střeliva má uskutečnit jako podklad pro vydání příslušného cizozemského vývozního povolení."
Zbrojní průvodní list pro tranzit zbraně nebo střeliva může na základě žádosti fyzickým nebo právnickým osobám vydat podle zákona o zbraních mimo jiné,zastupitelský úřad České republiky nebo Policejní prezidium České republiky.
K žádosti o vydání zbrojního průvodního listu pro tranzit zbraně nebo střeliva je žadatel podle zákona o zbraních povinen předložit,"úředně ověřené pozvání uživatele honitby nebo pořadatele sportovní akce, pokud je účelem tranzitu zbraně nebo střeliva výkon práva myslivosti nebo účast na střeleckých soutěžích. V ostatních případech je povinen uvést účel tranzitu zbraní nebo střeliva,"
"Pokud držitel zbrojního průvodního listu pro trvalý vývoz, trvalý dovoz nebo tranzit zbraní nebo střeliva do nich pozbyl způsobilost k právním úkonům, pozbyl zdravotní způsobilost nebo závažným způsobem nebo opakovaně porušuje ustanovení zákona o zbraních, rozhodne podle zákona o zbraních","příslušný útvar policie o jeho odnětí,"
Zbrojní průvodní list pro tranzit zbraně nebo střeliva nemusí mít podle zákona o zbraních mimo jiné,"lovec z členského státu pro loveckou zbraň a střelivo kategorie C, osoba podílející se na divadelním představení, rekonstrukci historické bitvy nebo jiné podobné kulturní akci pro expanzní nebo znehodnocenou zbraň nebo sportovní střelec pro sportovní zbraň kategorie A-I, B, C nebo C-I a střelivo do této zbraně, pokud je držitelem evropského zbrojního pasu, ve kterém má převáženou zbraň uvedenou, a pokud může uvést důvod své cesty, zejména předložením pozvání,"
"Dovážet, vyvážet nebo jinak se zbraněmi přes hranice cestovat (tranzit)","je držitel zbrojního průkazu oprávněn pouze na základě specifického oprávnění, zejména příslušného zbrojního průvodního listu nebo v případě tranzitu v rámci Evropské unie též evropského zbrojního pasu. Přitom je třeba dbát vždy též na pravidla stanovovaná jinými státy na jejich území,"
"Dovážet, vyvážet nebo jinak se zbraněmi přes hranice cestovat (tranzit)","lze i v případě zbraní kategorie C-I a palných zbraní kategorie D pouze na základě příslušného oprávnění, např. příslušného zbrojního průvodního listu a v případě tranzitu v rámci Evropské unie též evropského zbrojního pasu. Přitom je třeba dbát vždy též na pravidla stanovovaná jinými státy na jejich území,"
"Dovážet, vyvážet nebo jinak se zbraněmi přes hranice cestovat (tranzit) v případě zbraní, které jsou podle zákona č. 38/1994 Sb. považovány za vojenský materiál,","je dovoleno pouze profesionálním subjektům, které jsou držiteli speciálního povolení a licence vydaných Ministerstvem průmyslu a obchodu,"
"Dovážet, vyvážet nebo jinak se zbraněmi přes hranice cestovat (tranzit) je v případě","převodu znehodnocené zbraně do jiného členského státu možné pouze tehdy, pokud je daná zbraň znehodnocena způsobem, který stanovuje přímo použitelný předpis Evropské unie. Takovou zbraň je současně nutné převádět na základě příslušného zbrojního průvodního listu, neboť se jedná o zbraň kategorie C-I,"
"Evropský zbrojní pas podle zákona o zbraních vydá příslušný útvar policie pouze fyzické osobě, která","má místo pobytu na území České republiky a je oprávněným držitelem zbraně,"
Příslušný útvar policie podle zákona o zbraních evropský zbrojní pas zadrží,"pokud jeho držiteli zadrží, zajistí nebo odejme zbrojní průkaz."
"Podle zákona o zbraních zbrojní průvodní list pro trvalý vývoz, trvalý dovoz nebo tranzit zbraní nebo střeliva se vydává na dobu, po kterou se zbraň nebo střelivo bude nacházet na území České republiky,","nejdéle však na dobu 3 měsíců,"
"Podle zákona o zbraních držitel zbrojního průvodního listu pro trvalý vývoz, trvalý dovoz nebo tranzit zbraní nebo střeliva, jehož platnost zanikla, je povinen do","10 pracovních dnů ode dne zániku jeho platnosti odevzdat zbrojní průvodní list kterémukoliv útvaru policie. A to včetně zbraně nebo střeliva, je-li jejich držitelem na základě tohoto dokladu,"
Podle zákona o zbraních správce střelnice je mimo jiné povinen při výkonu funkce,"nosit viditelně označení správce střelnice stanovené provozním řádem střelnice,"
Podle zákona o zbraních zajistit přístupnost a dodržování provozního řádu střelnice a ostrahu střelnice je povinen,"správce střelnice,"
"Zajistit, aby střelbu na střelnici prováděla jen osoba, která je k tomu oprávněna, je podle zákona o zbraních povinen",správce střelnice.
Správce střelnice je podle zákona o zbraních mimo jiné povinen,"zastavit střelbu na střelnici v případě ohrožení života, zdraví a majetku,"
"Technické a organizační požadavky, kterým musí střelnice odpovídat, jsou stanoveny","v příloze zákona o zbraních,"
"Podle zákona o zbraních zadržet zbraň kategorie A, B, C nebo D, střelivo, černý lovecký prach, bezdýmný prach, zápalky, zbrojní průkaz, zbrojní licenci, průkaz zbraně, zbrojní průvodní list pro trvalý vývoz, trvalý dovoz nebo tranzit zbraní nebo střeliva, povolení k vývozu podle zákona o kontrole obchodu s výrobky, jejichž držení se v České republice omezuje z bezpečnostních důvodů, evropský zbrojní pas, povolení k přepravě nebo hlášení přepravy zbraní a střeliva podle § 50 nebo 50a zákona o zbraních, aby jejich držiteli zabránil v jednání, kterým porušuje povinnost nebo nedodržuje zákaz stanovený zákonem o zbraních, je oprávněn","příslušník policie,"
"Podle zákona o zbraních příslušník policie je oprávněn zadržet zbraň kategorie A, A-I, B, C nebo C-I, střelivo do této zbraně, zbrojní průkaz, zbrojní licenci, průkaz zbraně nebo zbrojní průvodní list pro trvalý vývoz, trvalý dovoz nebo tranzit zbraní nebo střeliva, povolení k vývozu podle zákona o kontrole obchodu s výrobky, jejichž držení se v České republice omezuje z bezpečnostních důvodů, evropský zbrojní pas, v němž jsou zapsány zbraně kategorie A, A-I, B, C nebo C-I, povolení k přepravě nebo hlášení přepravy zbraní a střeliva podle § 50 nebo 50a zákona o zbraních, pokud","byl odňat zbrojní průkaz nebo zbrojní licence a dosavadní držitel zbrojního průkazu nebo zbrojní licence neodevzdal průkaz zbraně, zbraň a střelivo příslušnému útvaru policie,"
"Pokud držitel zbrojního průkazu na výzvu příslušníka policie neprodleně neodevzdá zbraň kategorie A, A-I, B, C nebo C-I, střelivo do této zbraně, zbrojní průkaz a průkaz zbraně, které mají být zadrženy, nebo nesdělí místo jejich uložení a neumožní jejich převzetí policií podle zákona o zbraních","je příslušník policie oprávněn vstoupit do obydlí, jiných prostor nebo na pozemek, lze- li důvodně předpokládat, že se zde tyto věci nalézají, a zadržet je,"
"Podle zákona o zbraních rozhodnout o zajištění zbraně kategorie A, A-I, B, C, C-I nebo D, střeliva, černého loveckého prachu, bezdýmného prachu, zápalek, zbrojního průkazu, zbrojní licence, průkazu zbraně, zbrojního průvodního listu pro trvalý vývoz, trvalý dovoz nebo tranzit zbraní nebo střeliva, povolení k vývozu podle zákona o kontrole obchodu s výrobky, jejichž držení se v České republice omezuje z bezpečnostních důvodů, evropského zbrojního pasu, povolení k přepravě nebo hlášení přepravy zbraní a střeliva podle § 50 nebo 50a zákona o zbraních může mimo jiné","příslušný útvar policie, a to v případě věcí, které byly zadrženy, a v dané věci má být vedeno řízení podle zákona o zbraních nebo podle zvláštního zákona,"
"Podle zákona o zbraních nošené nebo přepravované držené zbraně kategorie A, A-I, B anebo C nebo střelivo do nich, musí být pod neustálou kontrolou","držitele zbrojního průkazu nebo držitele zbrojního průvodního listu pro trvalý vývoz, dovoz nebo tranzit zbraní nebo střeliva, který přepravu realizuje,"
Podle zákona o zbraních nošené nebo přepravované zbraně kategorie C-I nebo D a střelivo do těchto zbraní musí být pod neustálou kontrolou,"jejich oprávněného držitele,"
"Podle zákona o zbraních uschované, uložené nebo uskladněné (přechovávané) zbraně kategorie A-I, B nebo C v počtu do 2 kusů nebo střelivo v počtu do 500 nábojů","je jejich držitel povinen vhodně zabezpečit proti zneužití, ztrátě a odcizení,"
"Podle zákona o zbraních uschované, uložené nebo uskladněné (přechovávané) zbraně kategorie A, A-I, B nebo C v počtu do 10 kusů nebo střelivo v počtu do 10 000 nábojů se zabezpečují","uložením do uzamykatelné ocelové schránky nebo uzamykatelné ocelové skříně nebo zvláštního uzamčeného zařízení, pokud tato schránka, skříň nebo toto zařízení splňují technické požadavky stanovené prováděcím právním předpisem. Toto se nevztahuje na přechovávané zbraně kategorie A-I, B nebo C v počtu do 2 kusů nebo střelivo v počtu do 500 nábojů, které je však jejich držitel povinen vhodně zabezpečit proti zneužití, ztrátě a odcizení."
"Podle zákona o zbraních uschované, uložené nebo uskladněné (přechovávané) zbraně kategorie A, A-I, B nebo C v počtu více než 10 kusů nebo střelivo v počtu více než 10 000 nábojů se zabezpečují","v uzamykatelném skříňovém trezoru, uzamčené místnosti nebo samostatném objektu, pokud splňují technické požadavky stanovené prováděcím právním předpisem,"
"Podle zákona o zbraních uschované, uložené nebo uskladněné (přechovávané) zbraně kategorie A, A-I, B nebo C v počtu více než 20 kusů nebo střelivo v počtu více než 20 000 nábojů se zabezpečují","v uzamčené místnosti, samostatném objektu nebo komorovém trezoru, pokud jsou chráněny elektronickým zabezpečovacím zařízením a pokud splňují technické požadavky stanovené prováděcím právním předpisem."
